ds,yhat,yhat_lower,yhat_upper
2010-12-01,52350.237979161226,41911.36263889769,62388.68612160751
2011-01-01,54405.1520105936,43674.799465742304,65255.66905877769
2011-02-01,53867.77163654162,43250.68365042158,64225.417966300054
2011-03-01,62522.15825617593,51805.89994212593,72577.5235790053
2011-04-01,67231.90028127855,57579.49690324011,77823.04382482538
2011-05-01,69834.9034932987,59986.8323319355,80367.12122705883
2011-06-01,69577.79255727968,59528.46863124106,79579.25161417268
2011-07-01,75714.66073924793,65655.47217534468,85782.61151335355
2011-08-01,72263.44128679404,61690.340144136826,83384.5223898116
2011-09-01,63196.2532434618,53049.84054289595,74198.03715619227
2011-10-01,63432.99870284712,53075.50500316013,73795.53640259895
2011-11-01,53705.98832873066,43326.29015873448,63995.66112409596
2011-12-01,49817.449618754166,39702.94208177379,59309.244328869325
2012-01-01,51743.45656357532,41518.49647760924,61345.81242496095
2012-02-01,51241.719142355854,40871.161789109254,62042.00594173368
2012-03-01,59605.71562320884,49703.72136321614,69942.02565769696
2012-04-01,64126.998574084886,53888.301771659906,75732.88554903665
2012-05-01,66569.93380717098,55925.6297952372,77136.75283911792
2012-06-01,66115.51509842985,55611.370159765145,76712.42264656199
2012-07-01,71694.62135888658,61161.17275842693,82080.56724140691
2012-08-01,68594.7238960022,58466.23239201632,78901.9875132263
2012-09-01,59906.878489361436,48750.55119364437,70520.63086067468
2012-10-01,60084.47702991068,49082.61532745084,69671.55275200648
2012-11-01,50940.53819123959,40619.67090174139,61346.251996705396
2012-12-01,47230.05978074986,36204.36556215186,57813.35891753578
2013-01-01,49093.026744147435,38534.697236405314,59369.21596233796
2013-02-01,48550.66162736089,38652.54105577923,58424.0539692448
2013-03-01,56467.64674966937,46139.6135349477,66159.93636535811
2013-04-01,60720.60150404652,50237.26680127144,70911.46343429068
2013-05-01,63024.94242139843,52067.81914250758,73206.88783280001
2013-06-01,62638.34672969229,52330.125644548556,73197.754423567
2013-07-01,67987.60706692873,57370.45969084485,78287.29709551322
2013-08-01,64973.96681542312,53774.17879365309,75751.06289004025
2013-09-01,56748.64400210528,46357.62399826633,66826.00060356822
2013-10-01,56916.69437797366,46496.5030957759,67316.18562853856
2013-11-01,48214.32701643722,37258.69493957582,59185.29898961548
2013-12-01,44693.976469839756,35513.54909316259,55196.806415590116
2014-01-01,46430.712156494854,35798.46141084168,56391.05923324861
2014-02-01,45921.91206163967,34639.1301077691,56716.27505953817
2014-03-01,53332.98657464727,42748.27899009425,64161.65768410858
2014-04-01,57320.90950704309,47352.981192892345,68366.6293717962
2014-05-01,59488.22938912203,49619.1489376509,69666.32812282033
2014-06-01,59165.08307607705,48060.92388189326,68938.5825461418
2014-07-01,64271.145629044935,53397.83646759687,74293.53423570366
