ds,yhat,yhat_lower,yhat_upper
2013-05-01,12919.0785406833,9724.171164910014,16148.840578372952
2013-06-01,13373.607988633074,10092.393858233367,16739.18419353409
2013-07-01,14301.072876663613,10948.74431310597,17575.68883773151
2013-08-01,13869.339593617571,10520.083401452059,17048.190476045023
2013-09-01,13770.77265323634,10518.408362874989,17148.795776489238
2013-10-01,14405.758587235216,10903.853571906897,17612.116925512488
2013-11-01,14168.035048230451,10937.80447506419,17540.76454459564
2013-12-01,14360.341042618506,11106.198988991933,17550.25179408731
2014-01-01,14641.152303738798,11406.105426546195,18033.893142757268
2014-02-01,14161.307698814073,10854.879032241652,17392.989817997925
2014-03-01,16390.839311610343,12834.081372316003,19711.602719469625
2014-04-01,16013.616023416242,12526.543601093661,19187.884168692126
2014-05-01,17685.53127543388,14074.09067952679,20925.658146140235
2014-06-01,18273.096388116926,14992.241155799678,21610.40598247813
2014-07-01,19211.822966466883,15689.158587317275,22436.12358954921
2014-08-01,18474.41983389016,15299.136151959625,21962.814272522308
2014-09-01,18457.00176552533,14944.332181840868,21716.89768150235
2014-10-01,19202.463105842584,15862.805167842362,22561.13830856062
2014-11-01,18661.082405252324,15354.893288848432,21788.20757260934
2014-12-01,18656.00830701546,15259.8659412842,21857.022399917445
2015-01-01,19041.115912428686,15749.157743156433,22340.2380297181
2015-02-01,18234.564857406636,14865.38275456605,21753.96107543027
2015-03-01,20935.12553731641,17712.735203072727,24510.14181089159
2015-04-01,20789.30282855234,17452.873116342867,24129.73335454192
2015-05-01,22410.590999636228,19213.1466240931,25935.857802190843
2015-06-01,23195.735486409172,20070.898414963696,26338.09998216266
2015-07-01,24054.525655853704,20747.616930790664,27244.838581469452
2015-08-01,23014.83012553798,19745.250165360885,26191.700819306
2015-09-01,23204.4830350818,19895.821353847066,26765.282464115684
2015-10-01,24064.63852306922,20660.896739624128,27371.009791133096
2015-11-01,23181.29026167972,19986.260215773298,26449.917417818055
2015-12-01,22929.041826539902,19609.301120039727,26110.689345805353
2016-01-01,23498.093989183893,20043.941319403923,26861.657543775473
2016-02-01,22341.1908847822,18884.502850985275,25818.746825285383
2016-03-01,26179.401946904607,22876.632149279103,29781.915341001702
2016-04-01,24313.356561276087,20760.7091681802,27492.482167492293
2016-05-01,27734.10408976821,24321.32808889233,30980.91921754187
2016-06-01,28114.25119793993,24822.707862117997,31277.719615347618
2016-07-01,29938.203304112973,26804.278959365132,33082.99346385119
2016-08-01,28687.655374937407,25043.40189423491,32220.719520091177
2016-09-01,27802.885753245107,24510.84352690869,31198.028406829322
2016-10-01,28750.30716255424,25535.947342288266,32183.066995228994
2016-11-01,28144.9776699802,24824.948552246493,31530.97548587725
2016-12-01,28486.593136595937,25221.999031270378,31706.467921438332
2017-01-01,28580.58970657874,25343.198464025438,31850.84511242186
2017-02-01,27529.476957811552,24173.37432074292,30899.061259080943
2017-03-01,31738.46276365629,28519.32848040056,35217.943185548545
2017-04-01,30102.56824275739,27095.573516390166,33528.799148704325
2017-05-01,33648.46617769362,30500.67997264388,37159.01382457832
2017-06-01,34293.28187737215,30879.93394756638,37472.785537436954
2017-07-01,36146.57645190589,32749.56992006878,39417.64406501311
2017-08-01,34559.33611120085,31496.568946880907,37800.3698621703
2017-09-01,33849.037031364074,30887.754407420958,37197.17923752273
