ds,yhat,yhat_lower,yhat_upper
2010-12-01,23025.296841640757,9747.869896835951,35125.09651848166
2011-01-01,23272.5291951964,10295.961617684992,36106.328438268785
2011-02-01,22315.176638056237,10058.794192756148,35715.934577632775
2011-03-01,26644.272398526304,13701.30986062443,39637.933233099975
2011-04-01,29477.796194817933,16850.593406989097,42202.68881678557
2011-05-01,31215.048495416555,19254.50277284493,43135.026712402185
2011-06-01,30648.48203430723,17263.25745907575,44607.063126564215
2011-07-01,33180.88684817672,20713.53442335048,45851.493787774525
2011-08-01,31486.81637470703,17838.729105871906,44247.274490747375
2011-09-01,26568.99636589197,14232.00939126414,39703.255081463474
2011-10-01,29125.161500851656,16036.929181085861,41531.05616767079
2011-11-01,23841.091533588184,12054.570970841363,36037.37230169338
2011-12-01,22492.48088552496,10682.478397984749,35838.61366724145
2012-01-01,22731.480886093344,10126.233765702478,35130.73690961219
2012-02-01,21819.449603311106,8920.42270112756,34324.74466862715
2012-03-01,26101.985896780072,13082.1514760486,38562.05040966507
2012-04-01,28898.328355859532,16293.012823947498,41517.91025581573
2012-05-01,30591.55547628187,18092.500712452616,43445.05969249559
2012-06-01,29949.805955051586,17764.62914739108,41913.1921927859
2012-07-01,32335.81292038114,19568.266005733032,45857.140275022626
2012-08-01,30755.59567449682,18832.379617937724,43405.57004989207
2012-09-01,25868.682108105568,13382.372829948172,39551.769242225935
2012-10-01,28361.936351982717,16655.21571576902,40594.712362775885
2012-11-01,23282.988384102748,10385.03872941988,36380.10950302866
2012-12-01,21983.582176153108,9049.170650740114,34862.514042813564
2013-01-01,22220.41581071416,9332.774352225362,34609.52402137858
2013-02-01,21259.390362621667,8291.861850247895,33583.95344385421
2013-03-01,25464.798823917197,12539.913621820218,38615.08004507132
2013-04-01,28183.918997925262,15881.900408411399,40158.32220475066
2013-05-01,29835.86826726893,17437.18326937981,41502.54151021919
2013-06-01,29234.83376903792,17010.361960767743,41869.705382705746
2013-07-01,31592.897921875778,18534.0338491851,42815.56244635363
2013-08-01,30023.830631904217,18023.625833242382,42523.56824210356
2013-09-01,25276.703463064994,11171.897179338075,37168.78007198328
2013-10-01,27713.190789304863,16094.100527804036,40391.751900325784
2013-11-01,22725.612998991273,10307.144714545899,34300.30026413915
2013-12-01,21449.794961760854,9750.202883344995,34715.19657938507
2014-01-01,21678.393890336483,9192.880862543256,34505.665426001266
2014-02-01,20761.339541629415,7757.729561183839,33941.721409692655
2014-03-01,24827.62038817576,12158.697776061488,37686.858173321714
2014-04-01,27470.376888850184,15355.531573235336,40073.13763369914
2014-05-01,29081.75680228078,15285.005191934335,41146.34772187875
2014-06-01,28521.432518038488,15860.410506615779,41937.38748211544
2014-07-01,30848.11053805717,17906.144759633313,43378.66730725396
2014-08-01,29291.563916273597,17073.71428524171,41843.9512841603
2014-09-01,24685.00700148054,11950.490965306884,37424.370788897635
2014-10-01,27061.25834342843,14649.994092252968,39220.712613609765
2014-11-01,22168.289786234734,10221.866148208814,34767.32148676176
2014-12-01,20916.784715413978,9078.894268312075,33729.96674286042
2015-01-01,21137.228119016607,8856.20953175451,33695.444811825866
2015-02-01,20263.72076349572,8052.5500715280905,32979.027298073124
2015-03-01,24190.515403098718,11679.10301174788,36511.082668502626
2015-04-01,26757.775776589257,13877.339687588514,40333.252040218846
2015-05-01,28329.28261984442,16725.77959008485,40061.424346848136
2015-06-01,27809.55028682304,14920.130054291792,40499.94946254686
2015-07-01,30101.550790507026,17750.040310063276,43109.751509460206
