ds,yhat,yhat_lower,yhat_upper
2013-05-01,12010.259999539043,10349.983248071123,13735.528485469435
2013-06-01,12403.291119970767,10660.020943644204,14174.982959083147
2013-07-01,13011.493558895401,11263.712986058768,14703.563825784726
2013-08-01,12095.754001575999,10376.382376866852,13795.61580355051
2013-09-01,12205.564859350521,10530.481288467477,13872.015331062119
2013-10-01,12731.695849750447,11107.023788431334,14526.68258298678
2013-11-01,12499.535096737216,10845.511715125345,14095.78228268205
2013-12-01,12260.551614742975,10609.352565315698,13950.205091114487
2014-01-01,12140.684966942144,10338.034471230141,13918.251039064417
2014-02-01,11885.448711270685,10156.413517107721,13509.858977565402
2014-03-01,13332.90821663924,11616.441340973388,14892.429093136336
2014-04-01,12502.972142768773,10679.842259954637,14213.999517142869
2014-05-01,14098.178526368758,12276.122317175103,15796.844043524183
2014-06-01,14755.838274848711,13106.96497894362,16637.165391341947
2014-07-01,15250.257514383531,13419.3497049616,16895.419666740996
2014-08-01,13989.604981840872,12298.30514241262,15667.761706927722
2014-09-01,14172.916945766536,12359.704049884647,15813.99391353894
2014-10-01,14874.316778930497,13208.351635036943,16488.147162465008
2014-11-01,14526.158250471428,12738.603503715456,16157.137079745044
2014-12-01,14198.839034334937,12437.000680898289,15909.860959067597
2015-01-01,14177.161611333864,12380.913994276258,15850.675897271329
2015-02-01,13740.530500849876,11931.410692709413,15324.81079971596
2015-03-01,15207.77113317212,13637.40062303756,17023.93359890811
2015-04-01,14340.933003551598,12641.531885060489,16003.018172844953
2015-05-01,16144.339362319224,14505.443692828858,17863.38962831861
2015-06-01,17109.69071372339,15458.953161702417,18835.77047342408
2015-07-01,17409.933962211468,15797.13444001068,19234.930736154496
2015-08-01,15754.421231701157,14062.29830133139,17503.06729897162
2015-09-01,16023.065686507938,14357.045484506594,17867.81410829787
2015-10-01,16909.82728561562,15180.319130491807,18624.705277779867
2015-11-01,16394.761822435514,14593.044136792256,18068.159060700247
2015-12-01,15942.300263104731,14337.457386851032,17755.726424185905
2016-01-01,16017.711575634832,14358.329444421845,17900.858901496296
2016-02-01,15358.865977667696,13634.343284060782,17116.753037511222
2016-03-01,17445.39779111443,15815.89437243865,19208.65570751197
2016-04-01,16009.468011769663,14181.305535080119,17693.001731787263
2016-05-01,17914.19133936227,16162.702870349362,19597.788341981457
2016-06-01,18044.84797934884,16291.043382737938,19631.993054133625
2016-07-01,19009.069588192284,17340.085532204146,20730.15255901914
2016-08-01,17720.498578900053,15927.324691824033,19357.748470633967
2016-09-01,17609.832532509514,15945.50014221227,19309.754945820026
2016-10-01,18054.36789770431,16310.427286749838,19725.669855118933
2016-11-01,17618.135029096138,15795.190637191961,19335.713646767384
2016-12-01,17158.90692277147,15591.276566213732,18817.907483478648
2017-01-01,16665.7185148841,14966.001456928449,18522.745087264473
2017-02-01,16277.188491155151,14671.98136930961,17986.614857209122
2017-03-01,18309.215272659683,16594.688521234453,19954.40118139417
2017-04-01,16879.90122075961,15170.66566388501,18578.863748474203
2017-05-01,18852.067764629584,17298.367652476587,20484.481372940718
2017-06-01,19248.40013242053,17520.011844223805,20901.26105800138
2017-07-01,19961.092121831378,18247.899737410837,21613.89523815188
