ds,yhat,yhat_lower,yhat_upper
2010-12-01,9945.245317182458,7223.022449793821,12725.718366706733
2011-01-01,10659.650013072223,8094.356829966095,13534.097466305615
2011-02-01,10333.260864064776,7333.936604943987,13316.948442347879
2011-03-01,12275.63811228593,9224.499580634343,15012.611862806018
2011-04-01,12928.882065000667,10094.992073610703,15637.850492323765
2011-05-01,13167.076632521179,10445.027106843538,15936.324741122024
2011-06-01,13207.213966610403,10341.6122992694,15846.543982950363
2011-07-01,14537.462979062035,11723.614821672729,17303.149146240594
2011-08-01,13713.12971658753,10848.19473041196,16472.356764875083
2011-09-01,11863.242629051134,9276.508600739176,14880.184978065472
2011-10-01,12477.129088207586,9678.86974969746,15170.010539340323
2011-11-01,10374.418598405262,7316.813686959299,13386.99416831753
2011-12-01,9337.94173768264,6681.247060855101,12112.033844066591
2012-01-01,10002.435160395617,7168.6727131222215,12964.307889839654
2012-02-01,9696.47927589709,6927.17393815443,12295.03325945395
2012-03-01,11538.949096862323,8736.91122693752,14527.279391697117
2012-04-01,12152.917578170318,9518.814599805732,15023.18344908275
2012-05-01,12385.107746845877,9596.159788107116,15350.669548005877
2012-06-01,12373.290930469613,9611.847813179767,14922.025876134961
2012-07-01,13569.8877324269,10742.18143435021,16388.355502112
2012-08-01,12840.629334172503,10230.264317827345,15602.970974319245
2012-09-01,11079.02349643396,8050.227796230682,13990.46043843181
2012-10-01,11641.430169429566,8689.198416253688,14403.002577378955
2012-11-01,9698.407573533981,6759.389370647177,12484.621647292153
2012-12-01,8724.68866592146,5968.849911864689,11503.245082796455
2013-01-01,9348.666342112705,6409.068034513656,12282.075515509274
2013-02-01,9049.950072511456,6359.032517248454,12004.006198472616
2013-03-01,10765.892533422159,8030.388264231304,13399.86230850079
2013-04-01,11332.597670537836,8472.80190682168,14103.26816623797
2013-05-01,11540.203768828473,8842.27176125179,14355.285551667464
2013-06-01,11537.992339358942,9048.276447753295,14253.634715896931
2013-07-01,12663.72779082133,9792.17842797465,15363.901892019696
2013-08-01,11964.067357844246,9025.986936265146,14596.912181765161
2013-09-01,10325.47240473823,7661.9253148695125,13085.634488309397
2013-10-01,10848.162013966134,7982.559801381917,13756.052661618589
2013-11-01,9026.078029029712,6194.388351703989,11813.084771350368
2013-12-01,8116.528067239175,5303.829727053149,10789.047163496265
2014-01-01,8691.42733417532,6057.242859339254,11245.030424633946
2014-02-01,8412.42457816547,5787.005739916816,11163.832771867665
2014-03-01,9993.544633413894,7221.876092219968,12860.457059499613
2014-04-01,10513.49922645355,7600.902890401307,13463.852265194793
2014-05-01,10697.618011905975,7956.873192922334,13408.170408445574
2014-06-01,10703.466012389854,7981.019514152579,13561.61119172646
2014-07-01,11755.234924807939,9026.438508474232,14471.44573587084
2014-08-01,11087.387412698698,8398.482333100137,13849.16830791974
2014-09-01,9571.410874323545,6869.118503009552,12294.196748256236
2014-10-01,10052.976052173333,7244.030057252856,12886.356083155575
2014-11-01,8353.730829029293,5436.541808248771,11092.762925662011
2014-12-01,7508.643920436508,4905.78116596652,10283.420929391074
2015-01-01,8034.369245286544,5267.302980506271,10963.897177109544
2015-02-01,7774.993756255371,5103.094166085183,10762.325629640298
2015-03-01,9221.994684748252,6326.726338316174,11897.62650791314
2015-04-01,9695.672749763973,6794.7779833397435,12236.146800291544
2015-05-01,9857.302902812153,6980.747432477703,12611.873866609047
2015-06-01,9869.547447751165,6848.554675033074,12588.795491104362
2015-07-01,10844.456268691392,8191.278720225444,13684.202911732815
2015-08-01,10210.650664362736,7193.390059563596,12780.297306629182
2015-09-01,8816.732561776595,6104.597183500237,11578.692771561111
2015-10-01,9255.984239723455,6451.790824733293,11954.455743682172
2015-11-01,7681.364336942722,4977.270088185912,10480.397186854501
2015-12-01,6900.951270263555,4127.040048069589,9674.82459232503
2016-01-01,7377.490022852988,4489.99107940332,10037.918659275552
2016-02-01,7137.576172572459,4268.543711142452,9989.456303937019
2016-03-01,8477.781120738156,5594.25977768248,11253.775814445522
2016-04-01,8910.617305699381,5943.31625317742,11614.665612603663
2016-05-01,9062.658119728088,6406.835702697176,11867.837003348599
2016-06-01,9035.007913082827,6426.01062516888,11781.449606259412
2016-07-01,9888.368552046979,7212.837082215707,12579.482537089405
2016-08-01,9336.786666160187,6641.267707107955,12043.332698526703
2016-09-01,8038.265874514276,5441.382653037372,10896.022947139234
2016-10-01,8428.203542885209,5608.1966941865985,11218.051777118231
2016-11-01,7005.715877395868,4158.008526767018,9817.456922281099
2016-12-01,6288.4525838903255,3577.9811355493057,9058.678562549105
2017-01-01,6722.63381432259,3928.1828508355766,9674.258279414793
2017-02-01,6492.58304761956,3649.453418744621,9212.699642255295
2017-03-01,7707.061405131411,5084.867182353762,10499.059448411459
2017-04-01,8093.22252417313,5407.087396019336,10896.720824287315
2017-05-01,8222.007612393205,5323.954830272985,11199.06849014898
2017-06-01,8200.065901742404,5443.787294415041,11001.009753060736
2017-07-01,8978.232530362464,6087.274469457972,11826.012662591436
2017-08-01,8460.55648606236,5664.417399122152,11391.422217485444
2017-09-01,7282.894921242448,4574.2168406924675,10130.041297835072
2017-10-01,7632.104458851394,4933.912275169688,10351.446284468595
2017-11-01,6333.25730924052,3637.563091585654,9318.236088103711
2017-12-01,5680.134098004186,2942.2454157300463,8610.305990145129
2018-01-01,6065.737115182318,3293.7286469920946,8830.78503801104
2018-02-01,5854.624640121927,3038.1281534212135,8649.426603078804
2018-03-01,6937.193901919227,4279.561495549507,9763.112401056544
2018-04-01,7277.126517331167,4389.651462083691,10175.387289241531
2018-05-01,7383.619082567306,4668.593972429873,10348.965090874086
2018-06-01,7365.714422554246,4483.995881275841,10172.116860547036
2018-07-01,8065.8775217633365,5366.656551916925,10787.669459914487
2018-08-01,7584.304431124891,4808.322802319845,10519.521593216543
2018-09-01,6526.89342871676,3694.747169301983,9272.865874409354
2018-10-01,6834.257090390547,3999.2537334604704,9649.137175614636
2018-11-01,5660.774078336675,2817.2482461851787,8561.703665982792
2018-12-01,5071.984977187718,2318.3020776589487,7875.555251556578
2019-01-01,5409.027977832024,2615.7646219347585,8276.310419680367
2019-02-01,5216.669158730739,2256.937854547575,8026.667227168924
2019-03-01,6168.284215454789,3390.573399356424,8984.865894875724
2019-04-01,6462.394302435003,3647.449112576868,9190.934418899658
2019-05-01,6547.460238774383,3803.9816530168696,9337.407837325134
2019-06-01,6531.8133256185465,3955.4264588354386,9307.79426374781
2019-07-01,7151.376804039474,4366.037961449749,9905.044193941283
2019-08-01,6708.104616242758,3696.4729540872527,9416.561398605218
2019-09-01,5770.165964321801,2835.1037998825755,8450.082999179656
2019-10-01,6034.781404947001,3181.099682757691,8673.298941878022
2019-11-01,4988.263135972077,2155.276762614941,7729.741275328808
2019-12-01,4463.919675298689,1648.4932451842515,7138.817085054048
2020-01-01,4752.502087037782,2127.6303570844284,7523.909218763645
2020-02-01,4578.632810011661,1837.112029788852,7385.2261314020025
