ds,yhat,yhat_lower,yhat_upper
2013-05-01,2619.422452623152,2055.0621390016568,3171.92114544214
2013-06-01,2759.83213159802,2244.2390052138458,3311.30367828697
2013-07-01,2920.5633054383084,2330.1180111968124,3491.741602686488
2013-08-01,2628.096572487443,2046.8711671978363,3202.4388073708374
2013-09-01,2670.9057453113073,2030.0865693283995,3276.91522462099
2013-10-01,2953.218946415865,2369.373829230174,3519.211941944745
2013-11-01,2881.444156233248,2270.943276230657,3427.4939303448386
2013-12-01,2989.9591941778654,2421.7115857888452,3569.188306568313
2014-01-01,3025.869686430847,2462.3213471004624,3591.767045358784
2014-02-01,2876.36628351808,2328.212940311091,3435.706441183139
2014-03-01,3329.109279303224,2769.7723922336377,3933.1960778866232
2014-04-01,3267.830070526436,2665.2550237357154,3802.1175688743
2014-05-01,3590.920213886968,3021.574744705618,4161.835322658242
2014-06-01,3675.0987217386833,3085.6555828994474,4271.337079016786
2014-07-01,4063.2361011880644,3495.2442055615415,4648.710397797046
2014-08-01,3580.554795787713,2995.1448690839165,4143.071889018834
2014-09-01,3556.942237663787,2984.04605279687,4130.465231904647
2014-10-01,3820.1468907479775,3260.8644774236145,4403.984949578711
2014-11-01,3864.335214559535,3294.944069801837,4476.4573229962525
2014-12-01,3903.704977727008,3329.1466782227526,4439.8619629105515
2015-01-01,3939.3466157485414,3331.298036581431,4528.380276748154
2015-02-01,3725.5925543436197,3153.30767719138,4330.433087612698
2015-03-01,4298.575277186749,3703.4372994459086,4886.479553696588
2015-04-01,4205.86128250491,3606.7744694027274,4771.383065893811
2015-05-01,4549.089774338762,3978.0503599517187,5159.144675842604
2015-06-01,4539.578676202935,3984.4969768809992,5134.985288150997
2015-07-01,5260.800388499631,4680.872210271035,5846.42052198204
2015-08-01,4552.760603651486,3923.0599947299,5153.019096363317
2015-09-01,4433.902701818742,3857.785964707413,5032.611841122499
2015-10-01,4638.583515071919,4042.9901279137,5147.377034608249
2015-11-01,4879.869229925847,4313.681591706451,5432.363838612508
2015-12-01,4809.794040678471,4236.392929896926,5360.9344072330605
2016-01-01,4851.942477428135,4282.412584051548,5411.102987812652
2016-02-01,4575.524287761216,3988.9774034073157,5142.576392728553
2016-03-01,5219.091719626119,4641.982464896312,5784.781150707788
2016-04-01,5053.908655057975,4480.6332542471655,5583.229531815986
2016-05-01,5774.7330597865275,5179.323959225862,6325.9700941056835
2016-06-01,6264.10891475008,5701.951926378708,6829.481821617666
2016-07-01,6344.098936081434,5784.089828170193,6931.116486675095
2016-08-01,5826.172586645957,5263.072317536091,6455.683063412216
2016-09-01,6055.305945212681,5478.226402739827,6596.160277591526
2016-10-01,6891.0545979949975,6304.419924816756,7442.485568562166
