ds,yhat,yhat_lower,yhat_upper
2010-12-01,48582.101544092715,36762.805614577104,61602.99329043341
2011-01-01,50561.11483234115,38210.46257449138,63043.50975203487
2011-02-01,50285.51158647187,37886.87749621136,62904.33255791305
2011-03-01,59272.0608594588,46627.47265190714,71836.47692727784
2011-04-01,63381.63661687233,48845.22580777513,76117.71593089678
2011-05-01,64446.3682444636,52111.218354672805,76640.27909975853
2011-06-01,64846.070159685034,52794.42640066276,77250.1166855398
2011-07-01,70212.1501542502,56774.50415842632,83891.9095360086
2011-08-01,68271.91031358535,56051.387414306606,80822.723335714
2011-09-01,58430.0918900598,45749.08663967633,71197.50855249404
2011-10-01,59178.66832042229,46668.95438984443,70623.18056552886
2011-11-01,50190.63695018087,37566.807904145986,61952.80101703833
2011-12-01,46399.855764308435,34661.12516424661,58694.518072424784
2012-01-01,48287.544002433475,35888.28573242384,60971.55262326915
2012-02-01,48038.69386569364,35751.42231686622,60354.4128229421
2012-03-01,56758.788162806864,44621.45610245444,69342.82200472541
2012-04-01,60734.44969918603,48909.67398403498,72936.63129608308
2012-05-01,61693.0487946271,49340.04252047402,73875.75368817779
2012-06-01,61845.03778676568,49620.22128969344,74507.56682662776
2012-07-01,66730.1222502423,54255.3435336306,78725.07160523115
2012-08-01,65061.68355291531,52906.98412002325,78564.36786550903
2012-09-01,55619.00936813915,42838.202218952436,67626.48659378648
2012-10-01,56311.94098524961,43380.82895613236,67838.55660131533
2012-11-01,47826.88266302307,35478.50365648791,60187.53193113447
2012-12-01,44210.09718818269,31553.632836550125,56807.01742308207
2013-01-01,45977.8014249898,34361.85612951625,58661.04807864543
2013-02-01,45666.8317418142,32751.698783851454,57887.358094944975
2013-03-01,53998.237865870455,41331.03300627584,66195.577992252
2013-04-01,57750.59629905807,45154.732327186844,69646.97428420633
2013-05-01,58663.51660041975,46446.22771453758,70623.9463962339
2013-06-01,58863.54177748117,45973.09355011079,71660.92411715079
2013-07-01,63575.07022259326,51001.752882355526,76483.67719090435
2013-08-01,61913.84312341873,49224.45561540253,75235.15423066735
2013-09-01,52930.22626561884,39309.847341652785,64645.360215769586
2013-10-01,53584.768430845295,40879.80794065015,65688.83573454744
2013-11-01,45474.03586097977,33446.70815619854,57363.64257389759
2013-12-01,42023.84871016843,29011.036140373424,55237.95168375007
2014-01-01,43702.64409362756,30438.050336315424,54366.91938205638
2014-02-01,43417.649910816,30731.54335664362,56570.29023628335
2014-03-01,51240.58720956076,38119.66620010067,62424.48552074051
2014-04-01,54773.46493544771,42792.253480395695,67317.64941096974
2014-05-01,55642.30453160966,43238.505271128866,68338.57979651098
2014-06-01,55885.11196751529,43021.12523391401,68864.85489184073
2014-07-01,60411.15634320117,48339.75266665773,72172.74251962507
2014-08-01,58762.18294770505,47023.49143539153,70875.00103432701
2014-09-01,50240.00532128852,37865.5862424715,62110.384215831116
2014-10-01,50852.352060343605,37083.36090218066,63456.88290111902
2014-11-01,43121.742636345305,31179.40682437287,55164.065848594306
2014-12-01,39839.58085472311,26326.920165197887,51861.911314601
2015-01-01,41427.59150343923,28203.291916554543,54190.358896578924
2015-02-01,41166.82509899859,28590.20985142953,53535.20066299308
2015-03-01,48486.287671892525,36007.756685844055,60360.510824485245
2015-04-01,51803.33936392684,39461.03165640052,64389.777016877284
2015-05-01,52629.24698264965,40080.4853693911,64870.66418820946
2015-06-01,52909.21919476232,41003.413231480976,65710.7129446215
2015-07-01,57238.477123796445,44619.47457824536,69427.55551608032
2015-08-01,55607.10016452676,42797.17916019077,69060.80135444741
2015-09-01,47548.16308227431,35433.43258491896,60198.65158771636
2015-10-01,48115.019292336634,35193.202464530164,60073.74125057483
2015-11-01,40769.962679458884,28335.284945294075,52968.430241896145
2015-12-01,37657.00896594778,24122.017000752778,50168.88638170376
2016-01-01,39152.49164435966,26551.256054407608,52018.023550692684
2016-02-01,38914.09462760322,27005.08685419675,52057.66293873254
2016-03-01,45937.0729013031,33413.31004917022,57510.30492895122
2016-04-01,49107.69583246192,36668.67024175084,60837.9957552589
2016-05-01,49836.17965161664,37512.595255870794,62340.89062502721
2016-06-01,49910.291548200235,37310.96072954927,63078.47126904833
2016-07-01,53801.43361556503,40864.35511685711,66057.5176217628
2016-08-01,52404.21739569067,40372.42782441044,65933.79473462551
2016-09-01,44753.72618824051,32399.893046898702,57702.39819642937
2016-10-01,45266.99037352406,32441.29472426325,57404.39342904053
2016-11-01,38406.97988719194,26343.79317779513,51615.97140075415
2016-12-01,35467.19378314709,21895.22704863472,47056.29282963029
2017-01-01,36847.00916445204,24972.865913126603,48864.86036310577
2017-02-01,36559.42135061843,23589.371857402857,50118.23686987634
2017-03-01,43187.966483554075,29600.73117214703,55724.09733576197
2017-04-01,46139.79741066156,33384.85169738496,59416.12306123636
2017-05-01,46820.28463165318,34143.14994725219,59228.85092869277
2017-06-01,46928.80637407834,34374.51551182943,58800.541157631415
2017-07-01,50631.17371812998,37913.61035376454,63251.915413730676
2017-08-01,49253.48205802139,37043.86398652578,62200.20768640681
2017-09-01,42059.704207221286,29060.347642651028,54882.458181963
2017-10-01,42533.2164850896,30373.104631790862,54294.28917771934
2017-11-01,36054.05478520802,23143.77945735795,48791.63040416576
2017-12-01,33281.390657386975,21613.8819294538,46263.59681427644
2018-01-01,34570.627704594655,21902.087305013458,46192.52068625918
2018-02-01,34304.78243042885,21654.500501466646,47924.19130283059
2018-03-01,40442.34006412306,27839.812245233137,53578.55887240496
2018-04-01,43178.86912837197,30347.27486142155,55541.50897576545
2018-05-01,43812.371107962776,31544.72041871378,55885.173538758616
2018-06-01,43949.71502865576,32349.279326795153,55951.54448117363
2018-07-01,47452.30252317923,35157.24156882302,60279.55591140438
2018-08-01,46099.41815222485,33148.12350693554,58015.41455815934
2018-09-01,39363.97141670487,26354.85435420163,52004.01151113757
2018-10-01,39794.6037622671,27588.585793214566,52326.661852259305
2018-11-01,33701.537443779336,20275.795006826072,47492.85493887203
2018-12-01,31097.167814267963,18930.07304316703,43664.630188093506
2019-01-01,32294.178536439387,20628.38101043005,44811.127281447334
