ds,yhat,yhat_lower,yhat_upper
2013-05-01,14215.306630199848,10173.044357692768,17871.472675048135
2013-06-01,14707.646916258405,10756.003535836891,18897.474205763483
2013-07-01,16005.588736651622,12184.131107183772,20179.963118884483
2013-08-01,15501.643886953872,11346.275645590527,19559.894016561368
2013-09-01,15404.855656982569,11206.034936364556,19147.61443869151
2013-10-01,16091.517948328494,12530.658604153514,20210.45956147679
2013-11-01,15676.611870594747,11702.39384722283,19833.646901239445
2013-12-01,15727.934749243985,11743.246349887966,19758.423725567136
2014-01-01,16205.686255794357,12339.596302768896,20405.17233636945
2014-02-01,15688.611172689689,11748.831244811143,19566.34806188791
2014-03-01,18386.991845856075,14627.109293697948,22510.399525406858
2014-04-01,18009.692612452753,14070.401187401585,22018.563493726448
2014-05-01,19965.223907060023,15993.986476464353,23977.19140031007
2014-06-01,20546.698670128324,16469.093953379972,24281.765168083137
2014-07-01,21901.34066170838,17855.7429730866,25558.659873677418
2014-08-01,20963.07355903957,16939.093573055958,25174.39606965307
2014-09-01,20876.786759942843,16816.41008143318,25186.49647931448
2014-10-01,21821.122953796643,17664.856887912454,25951.876927345358
2014-11-01,20854.53346995922,16485.244852335047,24889.704255183522
2014-12-01,20697.54269543374,16355.120626681717,24606.59057676144
2015-01-01,21453.353713655477,17336.887572254687,25736.413590152606
2015-02-01,20693.13187660459,16501.302223576364,24839.163485114736
2015-03-01,23544.24836431769,19258.598807987943,27418.73769245698
2015-04-01,23540.560819642647,19414.527223771573,27773.4241240122
2015-05-01,25849.06079719564,21870.097335185772,29656.075719413748
2015-06-01,26614.00815576851,22945.270741705786,30358.20429624428
2015-07-01,27937.384068994066,24192.098217698145,32147.622889408474
2015-08-01,26575.220337178976,22555.09360649248,30525.791146514886
2015-09-01,26661.30230499849,22700.260314758973,30912.617289202542
2015-10-01,28000.47418211801,23833.697793878157,32071.730144921316
2015-11-01,26377.271447940515,22171.043019509754,30414.6876211432
2015-12-01,26018.313630043453,21863.544168869477,29894.49786012199
2016-01-01,27247.516030413306,23203.340028538954,31323.470755873434
2016-02-01,26227.349260672934,22484.82933638504,29992.312186892064
2016-03-01,31126.78219856539,27156.172559307564,35325.450674246684
2016-04-01,28804.94537740058,24897.36722923316,32960.81331595317
2016-05-01,32004.915204308767,27842.45893063848,35893.49295815477
2016-06-01,32427.717523525585,28653.650609303735,36358.751587752035
2016-07-01,35173.67703893213,31263.639279591232,39375.46308448902
2016-08-01,33677.76277329536,29591.845514741875,37565.39130334882
2016-09-01,32664.038041129126,28513.672591664406,36767.98483609832
2016-10-01,33386.684604797105,29629.74781672595,37225.60725675205
2016-11-01,32484.092472936878,28480.686531294847,36722.879361884836
2016-12-01,32336.94422015505,28431.381956390444,36402.69681866738
2017-01-01,32510.12087049406,28463.595672908137,36451.922113950706
2017-02-01,31051.094745326438,27042.73515934537,35444.46861664066
2017-03-01,36946.0957974664,32790.65599922785,40820.28870427218
2017-04-01,34925.22041900658,30999.00103883288,38920.08875128618
2017-05-01,38519.811095199686,34521.23887534506,42794.30554182739
2017-06-01,39088.50796698064,34907.16832714992,43141.61838854426
2017-07-01,41782.549505106064,37975.61624982825,45502.34266916813
2017-08-01,39756.89450106634,36148.30156463947,44120.72181451743
2017-09-01,38845.30916228573,34458.093391489,42900.003687910736
2017-10-01,39944.696963347196,35885.64194303359,44082.07023562328
2017-11-01,38313.86539580645,34076.81436073884,42257.689503306734
2017-12-01,37887.52700890214,33751.50886231722,42035.89757097347
2018-01-01,38481.919473165275,34685.64547104649,42608.87080894055
2018-02-01,36743.49666180868,32937.45552397936,40644.80545603917
2018-03-01,42548.99856792841,38599.83918008753,46324.04776841651
2018-04-01,41144.654996641075,37144.83396991275,45149.79067628965
2018-05-01,44979.79746585142,40985.59223199298,49139.9090523682
2018-06-01,45648.652375818805,41760.48541600516,49248.70667240465
2018-07-01,48027.064216688865,43994.301971158755,52001.38404561531
2018-08-01,45373.099115442,41212.43160311989,49215.31967127536
2018-09-01,44469.18724865252,40466.18576691929,48900.67507754058
2018-10-01,45786.2576543188,42097.909638051635,49904.113193600024
2018-11-01,43100.96331041594,39209.11484488665,47070.928066843204
