ds,yhat,yhat_lower,yhat_upper
2010-12-01,33160.78444525137,26292.321098517114,39957.801162956755
2011-01-01,35133.198300845695,27832.722047850246,42250.483613537675
2011-02-01,34521.690446988825,27163.868676382473,41450.7582974492
2011-03-01,40541.48815616194,33234.84282484988,47489.40375376277
2011-04-01,43347.3788822252,36305.23381547913,50551.78729340632
2011-05-01,44366.77967883953,37608.3599798711,51688.27840748742
2011-06-01,44754.52571674472,37959.771340988926,52406.031593209875
2011-07-01,50037.24005272591,42611.27442705418,56682.617622664904
2011-08-01,47615.164711706166,40505.959902400115,54914.73902662263
2011-09-01,40256.24874475525,33177.02948496856,46968.90245833693
2011-10-01,42076.31041899342,35019.0397243476,50132.44163158831
2011-11-01,34839.89852865625,27769.106815370877,42030.915801025905
2011-12-01,31264.428005493093,24308.36280632322,38756.63873698895
2012-01-01,33102.9621729694,25703.186269076312,40435.51279599301
2012-02-01,32523.95422532402,26013.77087309706,39667.191914408126
2012-03-01,38304.03624085848,31560.868511351146,44840.66024854089
2012-04-01,40938.6583272078,33466.528816681806,48324.8065637411
2012-05-01,41890.08121326442,35338.44268789115,48308.83980142094
2012-06-01,42084.14269997364,34731.86718349391,49726.629718231285
2012-07-01,46887.59553157099,40414.02558908829,53720.101988802344
2012-08-01,44768.103678052896,37313.250665079606,51550.118982262225
2012-09-01,37776.59010945204,31051.045711812112,45343.62452667969
2012-10-01,39422.99749782762,32097.184059438747,46533.428571834105
2012-11-01,32712.640198257068,26237.69468644979,39731.353758900594
2012-12-01,29307.878532303832,22322.87776863166,36744.943610483984
2013-01-01,31047.279448294696,24065.10017426146,38350.061887847136
2013-02-01,30475.767823031798,23585.44702034283,37075.617911799
2013-03-01,35882.35116994669,28459.182379483238,43151.99088838296
2013-04-01,38336.957224816644,30871.32545697133,45868.15047224421
2013-05-01,39212.29279451501,31669.07135788562,46848.28401217345
2013-06-01,39427.87436350527,31975.56693083999,46071.65096821465
2013-07-01,43963.56776492462,36507.91555733817,50919.63196384418
2013-08-01,41909.39315128937,34949.17007799622,49867.429064838194
2013-09-01,35367.12602339502,28272.10623000766,43250.73661256019
2013-10-01,36913.60400065631,29820.446361080285,44205.08695764579
2013-11-01,30591.757819521623,23466.795865345142,37359.27016818611
2013-12-01,27408.356514614094,20328.46286232949,34111.82482072809
2014-01-01,29016.96009518589,21648.3476216364,36374.67640594479
2014-02-01,28476.625394048307,21763.81261009702,35419.3038001558
2014-03-01,33464.67171805804,26136.887157033052,40990.48390208868
2014-04-01,35740.59706223047,28779.84934986276,42343.76428805291
2014-05-01,36541.87730984563,29388.52905344847,43815.72814675996
2014-06-01,36773.80462155846,29382.191135521356,43900.782799142566
2014-07-01,41031.2034991203,33365.853819103155,48039.29304141808
2014-08-01,39049.59568839527,31844.96940623391,46067.95933631972
2014-09-01,32957.23617661425,25322.419937523548,40035.066114988986
2014-10-01,34398.21846746997,27515.369657520914,41926.80432330726
2014-11-01,28471.287039984953,20583.514320917377,35100.31508202297
2014-12-01,25508.68937479212,17921.3837260388,32719.860284628125
2015-01-01,26986.063490727418,20211.69606931122,34431.88866146733
2015-02-01,26476.77584842013,19437.370066232404,33716.76640865762
2015-03-01,31051.3386008923,23763.428137138962,38442.62858771858
2015-04-01,33149.76224633886,26013.303049921135,40038.30070925019
2015-05-01,33878.68109115915,26459.468802653682,41234.13585123305
2015-06-01,34121.431064668184,26923.598070894535,41777.57306045329
2015-07-01,38090.759108966035,31114.425101877947,45393.19737261928
2015-08-01,36189.07497883931,28720.35488138107,43202.00384786683
2015-09-01,30546.620696622744,24056.887584313183,37450.47823340583
2015-10-01,31877.178553025293,24702.877757078106,38699.12266490376
2015-11-01,26351.184878111988,19405.181835653413,33312.17051236112
2015-12-01,23608.572178156042,16583.248487630437,30892.746240884404
2016-01-01,24954.558826238714,17706.743424154884,32085.880495613965
2016-02-01,24476.04162751077,17476.739835532197,31419.23793961854
2016-03-01,28779.083945011145,21546.30055137767,36128.39503046098
2016-04-01,30704.564104042936,23756.250722986057,38379.3988848112
2016-05-01,31364.112791063682,24251.808103018848,38651.288721935845
2016-06-01,31452.728228066444,24227.25944777175,38427.33883731158
2016-07-01,34980.955667294395,27595.03402918695,42607.22925979357
2016-08-01,33338.10074644267,26437.060993552146,40895.088650670485
2016-09-01,28079.095869947392,21403.93211763158,34864.570247389085
2016-10-01,29249.232122811027,22583.489653710483,36326.00150235278
2016-11-01,24224.113980121583,16843.34324754444,31731.63850263451
2016-12-01,21662.107056671382,14576.349366669912,28453.425314293723
2017-01-01,22902.653396566962,15842.897197215301,30069.634346397106
2017-02-01,22436.317079918164,15642.272365556253,29517.92234477021
2017-03-01,26368.555121508885,19602.181372315074,33236.85834248362
2017-04-01,28114.842807089783,20995.669692983556,34773.47509675462
2017-05-01,28699.219693893203,21807.092814424486,35993.56450209495
2017-06-01,28796.523051020256,21932.267359855097,36337.294448000226
2017-07-01,32043.209649047654,25025.62375599577,39188.09107637862
2017-08-01,30480.253639154784,23311.312712053932,38273.47177511795
2017-09-01,25665.997420763797,18413.7399005246,32972.60769381881
2017-10-01,26730.93752721587,19332.926501444137,33617.52942732947
2017-11-01,22103.306274142593,14685.765424025703,29104.808398220077
2017-12-01,19759.647929313527,12585.478962825655,27291.778849694514
2018-01-01,20871.12156080187,13525.376373699697,28660.827823380896
2018-02-01,20434.578867086817,13409.415193053259,28379.857156768165
2018-03-01,23962.5376843935,16539.766723880617,31152.533097110474
2018-04-01,25530.72292715357,17923.287014678208,32466.793654163495
2018-05-01,26041.52218144401,18619.554831063608,33217.46695361594
