ds,yhat,yhat_lower,yhat_upper
2013-05-01,8157.319131117952,4893.1412357755935,11672.117514165713
2013-06-01,8511.12692853103,5012.3433535616805,11924.026416708506
2013-07-01,9238.865753103444,5669.513052189755,12525.542568231325
2013-08-01,9075.62350173539,5719.738950719312,12869.325519017182
2013-09-01,9115.40782160878,5662.880464355466,12374.177189810698
2013-10-01,9592.673194081392,5928.044064117213,13385.873621325098
2013-11-01,9609.296501320294,6028.722179422699,13051.667948529253
2013-12-01,9828.169206661154,6043.58721551336,13159.083256822958
2014-01-01,10148.117804001004,6720.644442006954,13865.830020307667
2014-02-01,9934.056298419773,6535.992782543719,13364.857787894309
2014-03-01,11546.89188989093,7917.798483543062,15019.209368862123
2014-04-01,11141.754239965061,7758.912905414749,14676.504888760193
2014-05-01,12616.67592357834,9030.009840580962,16156.823999990305
2014-06-01,12889.262820564703,8855.379191164084,16504.99770485365
2014-07-01,13718.565872315385,10066.796775505874,17565.276443471128
2014-08-01,13231.81845979831,9884.4769045695,16835.092105304175
2014-09-01,13326.228706590695,9746.291568843591,16731.251009165113
2014-10-01,13942.64473352205,10471.366309713927,17529.79191631739
2014-11-01,13715.615750396257,10213.133557892947,16971.738898195283
2014-12-01,13805.808742982186,10035.311917155828,17340.71601872188
2015-01-01,14149.670709425376,10802.782505701258,17931.0339371335
2015-02-01,13622.286337072022,10193.27208098178,17299.885401966178
2015-03-01,15814.437371778731,12487.405357504587,19480.976215769362
2015-04-01,15285.45447095707,11677.890652320379,18992.094300002158
2015-05-01,17120.83154015305,13508.32758985455,20485.591450191383
2015-06-01,17264.967940605224,13686.07350538534,20839.971217640566
2015-07-01,18148.680208574693,14502.372360573787,21478.513844745907
2015-08-01,17309.693632828443,13672.772632740167,20692.045980269453
2015-09-01,17594.59421325076,14005.802441103502,21316.18670152556
2015-10-01,18395.409426988717,15040.46181623137,21967.878508730642
2015-11-01,17880.665842533086,14246.615213307936,21433.321582151922
2015-12-01,17815.03950869467,14120.91123044399,21178.26997179056
2016-01-01,18223.82848292889,14783.059849509957,21727.410851407978
2016-02-01,17344.706674212386,13710.048912308901,21059.686922165878
2016-03-01,20347.39760088254,16780.393674959843,23944.45339521647
2016-04-01,19033.73624821911,15611.86103198964,22210.254739170286
2016-05-01,21463.31727726874,17877.540599486947,24957.541902462024
2016-06-01,21962.877347621463,18076.24053718561,25603.1636935007
2016-07-01,23440.36957348253,19926.98067556323,26970.89136339974
2016-08-01,22638.07846813608,19480.585294350454,26142.551397054
2016-09-01,21963.861617257764,18609.612709101002,25442.29218503295
2016-10-01,22567.467556927786,19076.441897298486,25936.862570224177
2016-11-01,22369.628535351763,18828.78873123468,25956.23017651183
2016-12-01,22649.207582883886,19015.873095865583,26271.560818507696
2017-01-01,22967.61047797481,19475.53656441984,26519.147389370788
2017-02-01,22316.87468802917,18838.240082231256,25890.692609058882
2017-03-01,25444.366366131733,21891.95539599708,29034.047514052603
2017-04-01,23976.235152093825,20600.363518362214,27462.853103001406
2017-05-01,26891.681107052053,23406.858285578914,30435.694035952783
2017-06-01,27289.164570248224,23652.143825122937,31217.26253825299
2017-07-01,28881.463238363827,25447.508109324852,32547.52893252856
2017-08-01,27678.523186035392,24210.610609012583,31671.963134126294
2017-09-01,27158.03042622638,23828.810463391917,30889.568513303697
2017-10-01,27974.307417706656,24516.181097475615,31551.27219517471
2017-11-01,27440.207306100463,23781.89640853446,31058.70085096272
2017-12-01,27528.02179476186,24273.064064150596,30957.105050610746
2018-01-01,27888.879330832184,24389.568672829635,31528.39955729171
2018-02-01,26810.64643208782,23187.711199990405,30317.164051833595
2018-03-01,30679.983768117887,26920.746126296854,34377.57702303067
2018-04-01,29117.113373499407,25813.779437683028,32719.696952157217
2018-05-01,32469.70094171523,29050.398683267504,36035.12951865472
2018-06-01,32671.499955050396,28645.237978183464,36386.840567014886
2018-07-01,34287.32882417969,30619.548346048614,37493.39213938664
2018-08-01,32612.172543390436,29174.243200540124,35944.8832532641
2018-09-01,32407.535664797415,28855.17624074869,35775.28183071316
2018-10-01,33486.35971656124,29778.57325644258,36866.23328517842
2018-11-01,32535.18290926824,29419.83390452952,36313.64803437441
2018-12-01,32372.9140361684,28939.048296975674,35923.82241481183
2019-01-01,32799.655525955655,29076.91060472301,36430.68884509728
2019-02-01,31228.90243644255,27775.493696160134,34896.06579250008
2019-03-01,35905.206067212166,32375.114289082707,39167.35006993722
2019-04-01,34346.54452780968,31008.869798609965,37881.84312982699
2019-05-01,38099.769589602074,34475.799206556745,41831.93929520974
2019-06-01,38041.66976302998,34532.00843262589,41531.802637727975
2019-07-01,39619.61191765037,35836.20893745791,43053.47637435681
2019-08-01,37439.1012051201,33927.23402452813,41031.18255296779
2019-09-01,37715.11832050457,33860.783688743824,41182.5824044937
2019-10-01,39101.09152371049,35764.7458130948,42399.04570861861
2019-11-01,37649.84724750838,34094.16415871356,41139.950491114
2019-12-01,37181.051575648096,33805.792398261634,40878.48127168994
2020-01-01,37698.387159453756,34229.84026497512,41295.83947457855
2020-02-01,35572.61026911176,31926.408070672074,39119.57260379639
2020-03-01,36142.722912729754,32615.267156882004,39437.435202163775
2020-04-01,38362.3067369255,35067.33304897947,41840.60888094411
2020-05-01,42870.40368481173,39532.60532501684,46472.89760759059
2020-06-01,43472.93718449969,40136.006010041114,46790.105555808506
2020-07-01,46004.532497256296,42599.841169195824,49681.869483441704
2020-08-01,44052.26401900783,40517.26542607309,47601.787952427105
2020-09-01,42332.79966651303,38872.85988512546,45789.912968956945
2020-10-01,43106.37887319671,39439.99120692164,46382.03560129569
2020-11-01,42344.08224357065,38920.297556333106,45783.552841042925
2020-12-01,42510.42159345255,38752.42194033241,46051.786557353626
2021-01-01,42741.42858573507,39547.54064167497,46456.31020063912
2021-02-01,41185.765586358386,37674.72353642508,44762.104612516545
2021-03-01,46614.52069576474,43011.49923411172,50477.14891494893
2021-04-01,43578.82756907931,40138.240684178214,47088.42281179238
2021-05-01,48514.89640060696,44781.1700382526,51913.12410494518
2021-06-01,48863.911117696916,45255.85197464961,52105.66610613709
2021-07-01,51350.33092595778,47944.733706693216,54734.89317467123
2021-08-01,48761.167249754675,45205.991066450115,52616.457493843685
2021-09-01,47416.4347128185,43858.956803423134,51018.25127532224
2021-10-01,48428.388266450944,44941.15933067917,52265.38629387157
2021-11-01,47097.69355715307,43348.10131634203,50301.178860884174
2021-12-01,46688.29048083791,43240.5648940152,50289.344859780074
2022-01-01,46731.278157789566,43039.401501675806,50230.78687875856
2022-02-01,44393.733114582545,40876.242184098155,47980.09910659836
2022-03-01,50267.28252297562,46680.369318124336,53809.347412127085
2022-04-01,47161.51881677348,43705.44455939312,50629.62199966266
2022-05-01,51811.35401316713,48226.978364876144,55658.35000200631
2022-06-01,51344.29065082858,47992.5279493314,54756.7106651295
2022-07-01,53104.02812299866,49687.93231627825,56553.24925657205
2022-08-01,49763.891880457384,46146.33038811865,53430.013621164246
2022-09-01,48730.577143388226,45223.730674683364,52118.16505098634
2022-10-01,49530.10348790564,45913.915515676774,52996.339135526556
2022-11-01,47318.54471891157,43528.84656303772,51047.98763590622
2022-12-01,46327.44997565388,42412.407462417286,49799.2317553291
2023-01-01,46167.46135494919,42858.846557898534,49922.354497142456
2023-02-01,43241.26955512782,39529.73723523692,46977.910736513906
2023-03-01,48991.18215139265,45432.68356237907,52333.39735025558
2023-04-01,46114.45503656869,42316.10087525053,49535.46068355439
2023-05-01,50367.786963933184,46664.94898643916,53820.08761811277
2023-06-01,49499.37408692584,46123.67692742673,52946.95654406022
2023-07-01,50773.389846869904,47006.05916519425,54367.16928746129
2023-08-01,47235.760965480324,43954.2244162069,50587.36819905275
2023-09-01,46852.652935095626,43483.3216887505,50487.20349550715
2023-10-01,47857.22702604781,44413.036558704065,51579.024608761596
2023-11-01,45383.34609379079,42125.25448889373,49185.83190611657
2023-12-01,44166.24808955538,40587.376160504944,47814.51886962619
2024-01-01,44112.58331566233,40675.17428246612,47664.76447365163
2024-02-01,41008.45023414191,37216.808658288704,44303.18286688609
2024-03-01,47076.139835827744,43651.42119244956,50661.507246966125
2024-04-01,42977.9201670086,39302.433405276905,46362.307520566224
2024-05-01,47353.42128855992,43454.37109184315,50565.53960300659
2024-06-01,47326.32167219851,43971.75663938508,50909.92475069002
2024-07-01,49387.532270420714,45775.84936014382,53058.58694062201
2024-08-01,46618.18258072337,43072.76896782255,50259.73102875459
2024-09-01,44164.55247377468,40686.625338762904,47763.44498354413
2024-10-01,44359.26335185392,40866.496752693914,47791.19838746848
2024-11-01,42965.49050404903,39474.15064091251,46776.83303335513
2024-12-01,42553.83833001163,38950.807225700366,45981.54341741233
2025-01-01,42193.69027958369,38671.091258919674,45798.02632320513
2025-02-01,40099.17682294374,36838.00680024989,43343.45246793971
2025-03-01,44823.946892991145,41356.41112215467,48312.2543992866
2025-04-01,41334.99497972601,37570.69481181631,44739.56002430208
2025-05-01,45414.38612895292,41912.08853126215,48808.90055992756
2025-06-01,45125.56892507986,41417.038011726436,48529.89545710654
2025-07-01,46807.21934958164,43321.42688837459,50353.95235140395
2025-08-01,43945.60788623177,40206.342749534386,47515.00411226014
2025-09-01,42252.917849939615,38711.39892178133,45856.55166153502
2025-10-01,42686.086040146016,39227.30901940581,46342.97723030959
2025-11-01,41048.76466577289,37619.38867235934,44925.259992327476
2025-12-01,40405.75154469761,36838.84620129379,43986.065558767856
2026-01-01,40148.722356810606,36322.87847467567,43921.18165472007
2026-02-01,37862.62330203637,34347.02482260357,41316.5324460457
2026-03-01,42589.56927792298,39022.86068976113,46315.0400616369
2026-04-01,39666.41312795094,36056.521419836645,43184.0372033137
2026-05-01,43443.13755229904,39810.14283457463,47214.53164393424
2026-06-01,42913.840364528594,39385.131464012535,46383.67782885217
2026-07-01,44246.531948833785,40676.954767615076,47896.62469232927
2026-08-01,41329.47839716546,37750.15604777495,45008.66607360147
2026-09-01,40339.744456562476,36544.2639097087,43942.43072142379
2026-10-01,40971.340483213724,37537.217134097365,44494.936155906864
2026-11-01,39111.84725190073,35536.782845481815,42617.72615156791
2026-12-01,38263.9264378004,34555.65966687992,41701.810864204825
2027-01-01,38101.99748327195,34509.95587933013,41386.3483734332
2027-02-01,35658.90513847672,32061.718530574657,39450.08918191052
2027-03-01,40371.60275177709,36663.95397614197,43807.083599695725
2027-04-01,37970.608670392845,34569.19712438232,41572.26469027233
2027-05-01,41440.42580525688,37627.229185639684,45351.28556585548
2027-06-01,40692.81361221072,37090.548420400075,44578.59428144819
2027-07-01,41707.04447081133,37786.643604956174,45469.392748384525
2027-08-01,38769.03276815917,34888.15994905154,42657.64334371756
2027-09-01,38422.53261389231,34784.08089185992,42554.30829803964
2027-10-01,39214.423413354554,35088.57788852245,43277.73469005874
2027-11-01,37155.78693467952,33360.60560031654,41178.183023614525
2027-12-01,36129.41911660947,32084.447894727524,40298.594704370844
2028-01-01,36054.40655343275,32122.120867489728,40013.48691868482
